line,source,inputRms,inputPeak,outputRms,outputPeak,raw
948768,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948772,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14077, sequence=14076, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948786,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38242, regionSamples=2048, queuedSampleValues=1911808, sourcePlaying=True"
948793,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948797,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14104, sequence=14103, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948811,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38336, regionSamples=2048, queuedSampleValues=1912320, sourcePlaying=True"
948818,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948822,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14132, sequence=14131, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948836,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38431, regionSamples=2048, queuedSampleValues=1914880, sourcePlaying=True"
948843,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948847,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14159, sequence=14158, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948861,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38525, regionSamples=2048, queuedSampleValues=1915392, sourcePlaying=True"
948868,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948872,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14187, sequence=14186, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948886,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38620, regionSamples=2048, queuedSampleValues=1917952, sourcePlaying=True"
948893,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948897,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14215, sequence=14214, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948911,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38714, regionSamples=2048, queuedSampleValues=1918464, sourcePlaying=True"
948918,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
